status,date,no_of_accounts,no_of_trans,moved_amount
A,951023,13,13,183830.0
A,951024,9,9,48548.0
A,951025,8,8,114956.0
A,951026,9,9,100574.0
A,951027,15,18,313354.0
A,951028,12,16,223672.0
A,951029,10,10,141729.0
A,951030,10,10,100008.0
A,951031,151,332,151418.30003547668
A,951101,14,15,175523.0
A,951102,10,10,91941.0
A,951103,8,9,106131.0
A,951104,17,17,248677.0
A,951105,30,34,512811.0
A,951106,23,24,245379.0
A,951107,27,29,257900.0
A,951108,26,26,482066.0
A,951109,21,21,171223.0
A,951110,28,29,325199.0
A,951111,26,29,272565.0
A,951112,71,80,541428.7001953125
A,951113,28,29,275566.0
A,951114,27,28,326116.0
A,951115,11,13,110327.0
A,951116,13,13,131342.0
A,951117,14,14,149026.0
A,951118,11,11,91215.0
A,951119,8,9,103389.0
A,951120,7,9,153899.0
A,951121,7,7,84939.0
A,951122,17,18,212409.0
A,951123,9,9,120161.0
A,951124,8,8,98906.0
A,951125,11,11,163548.0
A,951126,11,12,206118.0
A,951127,9,11,83711.0
A,951128,13,13,137988.0
A,951129,8,8,50185.0
A,951130,155,338,112082.29999732971
A,951201,16,17,205362.0
A,951202,20,22,322504.0
A,951203,12,12,99324.0
A,951204,13,13,120614.0
A,951205,34,35,560538.0
A,951206,27,28,349044.0
A,951207,29,32,475560.5
A,951208,27,30,603193.0
A,951209,23,23,294408.5
A,951210,29,33,456847.0
A,951211,36,37,480972.0
A,951212,75,86,525774.0
A,951213,30,33,522456.0
A,951214,25,27,352114.0
A,951215,11,12,68100.0
A,951216,13,14,158969.0
A,951217,11,11,177534.0
A,951218,14,14,160923.0
A,951219,14,17,340962.0
A,951220,14,14,185143.0
A,951221,12,13,170626.0
A,951222,19,22,267175.0
A,951223,12,13,164126.0
A,951224,16,18,184463.0
A,951225,17,19,219795.0
A,951226,19,21,293287.0
A,951227,12,12,136987.0
A,951228,18,21,311775.0
A,951229,14,15,118598.0
A,951230,12,12,143905.0
A,951231,158,339,113716.79999351501
A,960101,26,27,233198.0
A,960102,23,28,217236.0
A,960103,36,36,321227.0
A,960104,32,38,342871.0
A,960105,54,59,564867.0
A,960106,39,43,393970.0
A,960107,45,49,455360.0
A,960108,44,53,671704.0
A,960109,38,43,422451.0
A,960110,46,53,437307.0
A,960111,45,53,478070.0
A,960112,88,112,644431.5002441406
A,960113,51,53,483244.0
A,960114,40,46,428052.0
A,960115,31,34,210432.0
A,960116,25,30,254945.0
A,960117,29,31,301690.0
A,960118,25,30,364753.0
A,960119,21,24,197200.0
A,960120,22,24,220335.0
A,960121,21,24,135820.0
A,960122,33,34,215538.0
A,960123,22,30,357598.0
A,960124,24,30,242826.0
A,960125,26,33,243212.0
A,960126,20,21,159804.0
A,960127,21,25,231523.0
A,960128,28,33,218983.0
A,960129,23,27,287242.0
A,960130,27,30,241890.0
A,960131,160,347,129427.90003108978
A,960201,9,9,88778.0
A,960202,13,16,231328.0
A,960203,11,12,123802.0
A,960204,16,16,132171.0
A,960205,31,33,451336.0
A,960206,22,22,157050.0
A,960207,28,29,369539.0
A,960208,25,26,368382.0
A,960209,20,20,138198.0
A,960210,33,34,286562.0
A,960211,27,31,353090.0
A,960212,80,87,576664.0007324219
A,960213,26,29,244441.0
A,960214,24,24,253433.0
A,960215,5,5,56397.0
A,960216,11,11,116294.0
A,960217,9,9,102465.0
A,960218,9,10,127104.0
A,960219,6,6,58207.0
A,960220,17,20,358929.0
A,960221,13,13,149390.0
A,960222,12,12,106530.0
A,960223,9,13,207876.0
A,960224,13,13,112086.0
A,960225,12,13,242331.0
A,960226,19,19,174839.0
A,960227,10,10,101663.0
A,960228,8,8,117953.0
A,960229,161,352,215490.0001001358
A,960301,8,8,135870.0
A,960302,13,13,183399.0
A,960303,13,14,225564.0
A,960304,15,15,138990.0
A,960305,38,40,496242.0
A,960306,27,29,289197.0
A,960307,25,26,242201.0
A,960308,29,29,467484.0
A,960309,25,26,275161.0
A,960310,27,29,269752.0
A,960311,23,24,252091.0
A,960312,78,83,484172.30078125
A,960313,28,28,233405.0
A,960314,22,23,328128.0
A,960315,18,19,214996.0
A,960316,10,10,70171.0
A,960317,12,13,244962.0
A,960318,7,7,93835.0
A,960319,10,10,111045.0
A,960320,8,9,159495.0
A,960321,20,20,263103.0
A,960322,8,8,63751.0
A,960323,10,10,213040.0
A,960324,14,14,265477.0
A,960325,10,10,110209.0
A,960326,12,14,283285.0
A,960327,15,15,178926.0
A,960328,15,16,183839.0
A,960329,11,12,147699.0
A,960330,12,12,148767.0
A,960331,170,355,141990.8000202179
A,960401,11,15,302150.0
A,960402,13,14,232429.0
A,960403,10,10,60700.0
A,960404,15,16,201320.0
A,960405,38,38,554132.0
A,960406,21,22,308021.0
A,960407,26,27,273576.0
A,960408,28,29,502131.0
A,960409,26,26,231505.0
A,960410,30,33,460608.0
A,960411,27,32,323019.0
A,960412,73,85,633775.3000488281
A,960413,30,35,323513.0
A,960414,25,25,287267.0
A,960415,13,13,123046.0
A,960416,8,8,141029.0
A,960417,10,10,121391.0
A,960418,13,13,165872.0
A,960419,5,5,63062.0
A,960420,17,18,270355.0
A,960421,11,12,180610.0
A,960422,10,11,191385.0
A,960423,8,9,84485.0
A,960424,11,11,122263.0
A,960425,12,14,250105.0
A,960426,22,22,252792.0
A,960427,12,15,399922.0
A,960428,10,11,226351.0
A,960429,11,11,120348.0
A,960430,176,363,79390.50014096498
A,960501,17,20,367693.0
A,960502,15,19,363354.0
A,960503,12,13,99491.0
A,960504,16,19,351099.0
A,960505,36,38,491259.0
A,960506,16,17,114418.0
A,960507,27,29,357276.0
A,960508,27,27,336570.0
A,960509,23,24,208118.0
A,960510,34,37,486865.0
A,960511,32,36,329001.0
A,960512,71,76,501726.6003417969
A,960513,31,34,282052.0
A,960514,29,29,455659.0
A,960515,10,11,145425.0
A,960516,19,20,272879.0
A,960517,13,13,115321.0
A,960518,10,11,169930.0
A,960519,8,8,94446.0
A,960520,16,18,319522.0
A,960521,12,12,176242.0
A,960522,15,17,301100.0
A,960523,10,10,92123.0
A,960524,11,12,156121.0
A,960525,10,10,149374.0
A,960526,13,15,264118.0
A,960527,10,11,200792.0
A,960528,11,11,177281.0
A,960529,11,13,137968.0
A,960530,12,12,138824.0
A,960531,182,376,206230.80008506775
A,960601,17,19,263138.0
A,960602,13,13,218985.0
A,960603,19,21,166056.0
A,960604,21,23,377934.0
A,960605,38,39,705919.0
A,960606,25,28,320311.0
A,960607,33,35,589092.5
A,960608,31,36,811140.0
A,960609,29,31,496640.5
A,960610,34,35,522207.0
A,960611,36,38,414955.0
A,960612,73,79,517920.900390625
A,960613,33,37,544947.0
A,960614,33,36,762839.5
A,960615,15,15,189322.0
A,960616,10,10,98903.0
A,960617,11,11,138051.0
A,960618,12,12,206573.0
A,960619,14,15,192265.0
A,960620,13,15,228645.0
A,960621,17,17,260896.0
A,960622,16,16,254869.0
A,960623,10,12,260373.0
A,960624,10,10,93488.0
A,960625,16,18,216904.0
A,960626,13,13,179354.0
A,960627,10,10,139601.0
A,960628,9,9,95735.0
A,960629,9,9,98424.0
A,960630,185,390,309214.2999744415
A,960701,15,15,144409.0
A,960702,10,12,207167.0
A,960703,13,14,166803.0
A,960704,16,16,255336.0
A,960705,39,40,560410.0
A,960706,26,28,243507.0
A,960707,27,30,380638.0
A,960708,32,35,592095.0
A,960709,30,32,430613.0
A,960710,35,37,399004.0
A,960711,32,35,410716.0
A,960712,68,75,443034.5009765625
A,960713,28,29,272740.0
A,960714,29,30,465844.0
A,960715,14,15,241594.0
A,960716,12,13,143975.0
A,960717,14,15,119616.0
A,960718,14,16,223803.0
A,960719,21,21,173912.0
A,960720,13,13,146772.0
A,960721,19,20,348267.0
A,960722,14,15,233041.0
A,960723,8,9,204062.0
A,960724,9,10,72800.0
A,960725,16,17,231734.0
A,960726,12,12,219887.0
A,960727,11,12,185044.0
A,960728,13,13,145296.0
A,960729,13,14,205192.0
A,960730,11,17,287421.0
A,960731,188,400,295944.59994497895
A,960801,13,13,135400.0
A,960802,20,22,262951.0
A,960803,23,27,503554.0
A,960804,12,12,119002.0
A,960805,37,38,433808.0
A,960806,19,24,345051.0
A,960807,32,34,426638.0
A,960808,31,32,327567.0
A,960809,31,32,358190.0
A,960810,39,41,462872.0
A,960811,34,36,378951.0
A,960812,76,85,641118.0004882812
A,960813,29,30,239462.0
A,960814,31,33,516228.0
A,960815,7,7,80001.0
A,960816,17,20,402909.0
A,960817,12,16,351852.0
A,960818,19,22,351598.0
A,960819,13,15,274074.0
A,960820,10,10,105640.0
A,960821,16,17,203276.0
A,960822,15,17,257639.0
A,960823,12,13,201039.0
A,960824,16,17,284344.0
A,960825,12,13,137902.0
A,960826,12,14,259427.0
A,960827,13,13,152470.0
A,960828,12,13,215564.0
A,960829,9,9,58182.0
A,960830,15,15,199884.0
A,960831,189,412,213320.20004236698
A,960901,17,18,207595.0
A,960902,16,17,194100.0
A,960903,13,15,336067.0
A,960904,15,17,312900.0
A,960905,38,45,686602.0
A,960906,29,32,453928.0
A,960907,29,30,364984.0
A,960908,43,46,558377.0
A,960909,33,33,370623.0
A,960910,28,29,222021.0
A,960911,30,33,328578.0
A,960912,73,78,461579.7998046875
A,960913,34,35,325306.0
A,960914,37,38,388867.0
A,960915,19,21,332142.0
A,960916,11,11,127965.0
A,960917,17,18,220957.0
A,960918,13,15,269052.0
A,960919,13,13,170900.0
A,960920,11,13,187973.0
A,960921,13,14,132090.0
A,960922,14,14,183378.0
A,960923,15,15,135006.0
A,960924,13,14,307829.0
A,960925,17,19,285682.0
A,960926,11,12,222298.0
A,960927,18,18,200118.0
A,960928,9,9,58140.0
A,960929,19,21,355924.0
A,960930,191,421,197860.40009937435
A,961001,13,14,261005.0
A,961002,17,17,256153.0
A,961003,13,13,215292.0
A,961004,7,10,214074.0
A,961005,45,46,624762.0
A,961006,28,29,236259.0
A,961007,34,38,541787.0
A,961008,44,44,551445.0
A,961009,27,29,287340.0
A,961010,24,25,194745.0
A,961011,36,39,288159.0
A,961012,75,81,536664.900390625
A,961013,30,32,301015.0
A,961014,30,30,294882.0
A,961015,15,15,195469.0
A,961016,17,18,221655.0
A,961017,17,18,187879.0
A,961018,17,19,277579.0
A,961019,13,14,153074.0
A,961020,16,20,362080.0
A,961021,15,16,175973.0
A,961022,19,20,230255.0
A,961023,15,15,149711.0
A,961024,14,14,156058.0
A,961025,17,18,285899.0
A,961026,11,12,149846.0
A,961027,10,11,202536.0
A,961028,19,20,333827.0
A,961029,14,14,147295.0
A,961030,19,20,247016.0
A,961031,193,428,340103.50005779415
A,961101,15,15,166103.0
A,961102,11,13,239024.0
A,961103,9,9,165130.0
A,961104,16,17,212026.0
A,961105,34,36,507579.0
A,961106,36,39,385527.0
A,961107,31,35,474972.0
A,961108,43,44,536432.0
A,961109,31,33,326448.0
A,961110,34,35,387953.0
A,961111,34,35,231527.0
A,961112,68,72,448529.0002441406
A,961113,32,34,314013.0
A,961114,42,46,499619.0
A,961115,19,24,498848.0
A,961116,13,14,187876.0
A,961117,19,21,306150.0
A,961118,10,12,193264.0
A,961119,15,18,318905.0
A,961120,13,14,205498.0
A,961121,19,22,374048.0
A,961122,14,16,191964.0
A,961123,13,13,192136.0
A,961124,12,12,177378.0
A,961125,20,21,297471.0
A,961126,13,13,180566.0
A,961127,9,10,112247.0
A,961128,11,11,126262.0
A,961129,15,15,299252.0
A,961130,195,430,290933.19995480776
A,961201,24,25,173757.0
A,961202,20,20,279073.0
A,961203,16,16,179287.0
A,961204,12,12,103744.0
A,961205,40,45,713050.0
A,961206,40,44,522628.5
A,961207,36,40,510896.5
A,961208,43,47,835859.0
A,961209,31,36,622484.5
A,961210,44,48,611052.0
A,961211,44,47,395905.0
A,961212,77,82,660373.9008789062
A,961213,43,49,472441.0
A,961214,39,41,568019.0
A,961215,13,13,123789.0
A,961216,29,30,335654.0
A,961217,15,15,194458.0
A,961218,18,22,271210.0
A,961219,18,18,178811.0
A,961220,19,20,263646.0
A,961221,23,26,231266.0
A,961222,20,21,215321.0
A,961223,16,16,186475.0
A,961224,22,22,279775.0
A,961225,25,25,321233.0
A,961226,10,10,160951.0
A,961227,20,23,281271.0
A,961228,19,19,162345.0
A,961229,21,22,312588.0
A,961230,24,25,329705.0
A,961231,197,425,169461.60011863708
A,970101,29,37,247913.0
A,970102,30,31,142872.0
A,970103,35,36,236658.0
A,970104,42,51,472460.0
A,970105,59,61,741132.0
A,970106,59,63,509754.0
A,970107,49,57,545591.0
A,970108,57,67,501840.0
A,970109,48,57,494634.0
A,970110,61,76,728484.0
A,970111,56,65,535147.0
A,970112,83,97,546434.2009277344
A,970113,55,64,574806.0
A,970114,46,58,486949.0
A,970115,33,35,274706.0
A,970116,32,37,313653.0
A,970117,34,35,217348.0
A,970118,42,51,533347.0
A,970119,27,36,237300.0
A,970120,30,34,341171.0
A,970121,38,39,279934.0
A,970122,35,36,266657.0
A,970123,30,33,278980.0
A,970124,29,31,192350.0
A,970125,30,32,230879.0
A,970126,24,25,150509.0
A,970127,30,33,232607.0
A,970128,30,30,195488.0
A,970129,35,41,472470.0
A,970130,28,30,228061.0
A,970131,197,426,145840.40004062653
A,970201,10,10,130034.0
A,970202,16,16,233034.0
A,970203,11,11,138261.0
A,970204,21,24,300076.0
A,970205,43,45,513443.0
A,970206,34,38,332532.0
A,970207,29,31,351794.0
A,970208,39,41,501611.0
A,970209,25,27,242854.0
A,970210,33,38,444684.0
A,970211,32,34,416767.0
A,970212,68,77,550604.3010253906
A,970213,25,28,199093.0
A,970214,38,40,408074.0
A,970215,15,15,119100.0
A,970216,14,15,193843.0
A,970217,12,12,90651.0
A,970218,10,10,113734.0
A,970219,16,16,159322.0
A,970220,19,21,387446.0
A,970221,13,14,206384.0
A,970222,13,13,171973.0
A,970223,15,15,182597.0
A,970224,12,13,197347.0
A,970225,9,10,103226.0
A,970226,11,13,245681.0
A,970227,10,11,153391.0
A,970228,199,441,351133.1000432074
A,970301,13,14,200363.0
A,970302,13,14,155470.0
A,970303,11,13,196666.0
A,970304,15,19,367583.0
A,970305,46,52,729933.0
A,970306,33,36,406564.0
A,970307,41,44,565220.0
A,970308,43,47,661843.0
A,970309,21,22,201014.0
A,970310,38,44,549838.0
A,970311,33,35,340621.0
A,970312,68,77,548339.1003417969
A,970313,31,34,237662.0
A,970314,35,39,513585.0
A,970315,12,12,90500.0
A,970316,25,27,355518.0
A,970317,16,19,253489.0
A,970318,17,19,343063.0
A,970319,15,17,332388.0
A,970320,15,15,78808.0
A,970321,11,11,80300.0
A,970322,13,13,151696.0
A,970323,16,18,182594.0
A,970324,12,12,223487.0
A,970325,14,18,221060.0
A,970326,11,13,216222.0
A,970327,14,16,227247.0
A,970328,15,15,192083.0
A,970329,16,16,101944.0
A,970330,15,15,233262.0
A,970331,200,449,437016.8999052048
A,970401,11,12,227567.0
A,970402,15,15,201729.0
A,970403,12,13,204341.0
A,970404,11,11,97772.0
A,970405,53,55,783965.0
A,970406,29,31,270677.0
A,970407,37,41,495698.0
A,970408,38,40,506844.0
A,970409,34,37,386330.0
A,970410,32,34,356021.0
A,970411,30,30,218643.0
A,970412,69,76,458274.4006347656
A,970413,29,30,306704.0
A,970414,32,35,406777.0
A,970415,19,21,164211.0
A,970416,17,18,211483.0
A,970417,20,21,307902.0
A,970418,22,22,246415.0
A,970419,15,16,182551.0
A,970420,16,16,176136.0
A,970421,21,23,260467.0
A,970422,12,12,119789.0
A,970423,15,16,219879.0
A,970424,18,20,341015.0
A,970425,11,13,141883.0
A,970426,16,17,219933.0
A,970427,13,13,150487.0
A,970428,12,13,155361.0
A,970429,17,18,240038.0
A,970430,202,448,373278.00012397766
A,970501,7,8,109948.0
A,970502,16,18,291736.0
A,970503,10,10,116925.0
A,970504,11,11,110856.0
A,970505,45,47,641137.0
A,970506,33,35,299948.0
A,970507,31,32,365650.0
A,970508,34,37,541123.0
A,970509,32,33,328522.0
A,970510,36,36,390989.0
A,970511,35,36,390109.0
A,970512,68,77,502392.6003417969
A,970513,27,28,252218.0
A,970514,38,44,562644.0
A,970515,13,14,113217.0
A,970516,15,15,139349.0
A,970517,14,15,282533.0
A,970518,19,20,206153.0
A,970519,13,14,114202.0
A,970520,16,16,224415.0
A,970521,24,26,444013.0
A,970522,14,14,145154.0
A,970523,15,15,213589.0
A,970524,18,18,313531.0
A,970525,13,14,231002.0
A,970526,14,16,248709.0
A,970527,15,15,235454.0
A,970528,20,21,345063.0
A,970529,24,26,435693.0
A,970530,19,20,281032.0
A,970531,202,438,283283.39992022514
A,970601,18,20,275613.0
A,970602,13,15,281537.0
A,970603,9,11,120181.0
A,970604,18,18,185420.0
A,970605,44,49,983540.0
A,970606,33,38,425478.0
A,970607,36,38,361840.0
A,970608,42,46,908743.0
A,970609,38,42,500376.5
A,970610,31,35,506292.0
A,970611,33,37,558055.0
A,970612,85,90,696774.0009765625
A,970613,31,33,444069.0
A,970614,47,48,867358.5
A,970615,19,19,287307.0
A,970616,19,22,337554.0
A,970617,16,19,265386.0
A,970618,16,16,219933.0
A,970619,20,21,366260.0
A,970620,24,29,435476.0
A,970621,16,17,233599.0
A,970622,16,16,254428.0
A,970623,18,18,320919.0
A,970624,19,26,535907.0
A,970625,10,10,120381.0
A,970626,22,23,325089.0
A,970627,19,22,441934.0
A,970628,18,19,299942.0
A,970629,22,22,269432.0
A,970630,202,453,385687.6999515593
A,970701,14,16,248753.0
A,970702,13,13,155430.0
A,970703,14,16,149118.0
A,970704,15,16,176833.0
A,970705,45,45,518176.0
A,970706,33,37,447361.0
A,970707,41,43,432758.0
A,970708,43,46,593600.0
A,970709,30,34,317014.0
A,970710,34,37,330049.0
A,970711,37,37,349462.0
A,970712,70,77,541151.9995117188
A,970713,33,35,382642.0
A,970714,40,42,430808.0
A,970715,17,17,169181.0
A,970716,17,19,426364.0
A,970717,20,24,479632.0
A,970718,19,21,181867.0
A,970719,14,15,123565.0
A,970720,12,15,365449.0
A,970721,15,16,229354.0
A,970722,10,10,186365.0
A,970723,16,16,197472.0
A,970724,11,12,124847.0
A,970725,13,14,226584.0
A,970726,15,17,323600.0
A,970727,13,13,162914.0
A,970728,21,22,332394.0
A,970729,17,18,202810.0
A,970730,9,9,107360.0
A,970731,203,444,226772.70000839233
A,970801,10,11,165329.0
A,970802,22,22,244128.0
A,970803,14,15,250788.0
A,970804,20,20,252208.0
A,970805,44,51,741105.0
A,970806,33,33,288001.0
A,970807,32,36,482411.0
A,970808,40,44,312636.0
A,970809,37,40,416938.0
A,970810,32,32,370418.0
A,970811,32,35,307850.0
A,970812,74,81,589191.4006347656
A,970813,32,34,437479.0
A,970814,42,45,533360.0
A,970815,18,19,304838.0
A,970816,20,21,296922.0
A,970817,13,13,164766.0
A,970818,13,14,224494.0
A,970819,14,14,243411.0
A,970820,20,21,220062.0
A,970821,14,14,171040.0
A,970822,14,16,322589.0
A,970823,14,14,247811.0
A,970824,9,10,134162.0
A,970825,11,11,158817.0
A,970826,16,18,339115.0
A,970827,16,16,208978.0
A,970828,21,24,344062.0
A,970829,8,8,120451.0
A,970830,10,10,110765.0
A,970831,203,452,391986.79994392395
A,970901,16,16,171526.0
A,970902,17,20,348936.0
A,970903,17,18,236510.0
A,970904,17,18,235330.0
A,970905,45,47,482969.0
A,970906,31,33,327815.0
A,970907,34,40,508244.0
A,970908,43,51,694826.0
A,970909,30,32,303858.0
A,970910,38,40,372521.0
A,970911,39,43,370136.0
A,970912,76,83,664193.2006835938
A,970913,32,35,259585.0
A,970914,33,35,460122.0
A,970915,14,15,250978.0
A,970916,22,22,312030.0
A,970917,23,27,406145.0
A,970918,19,22,400767.0
A,970919,22,24,338539.0
A,970920,17,19,371085.0
A,970921,18,18,220924.0
A,970922,13,14,275840.0
A,970923,8,8,150072.0
A,970924,17,19,409519.0
A,970925,19,21,299009.0
A,970926,19,21,408886.0
A,970927,24,25,400588.0
A,970928,14,15,343272.0
A,970929,9,10,172000.0
A,970930,203,456,578318.6000080109
A,971001,11,12,137438.0
A,971002,17,19,315893.0
A,971003,22,22,289865.0
A,971004,23,26,423338.0
A,971005,39,42,561159.0
A,971006,34,36,340618.0
A,971007,34,40,572268.0
A,971008,36,39,486413.0
A,971009,31,32,295379.0
A,971010,31,32,296067.0
A,971011,32,32,289595.0
A,971012,83,94,639524.3000488281
A,971013,37,43,430503.0
A,971014,44,47,519305.0
A,971015,11,12,196109.0
A,971016,13,13,187018.0
A,971017,12,12,128086.0
A,971018,18,20,387000.0
A,971019,22,23,293515.0
A,971020,20,22,292601.0
A,971021,20,21,354577.0
A,971022,15,19,320264.0
A,971023,19,21,422264.0
A,971024,15,16,271269.0
A,971025,17,19,295469.0
A,971026,10,10,163515.0
A,971027,20,20,167133.0
A,971028,14,17,335921.0
A,971029,19,22,382943.0
A,971030,13,14,270149.0
A,971031,203,454,438623.30023384094
A,971101,14,17,402070.0
A,971102,18,19,258604.0
A,971103,14,15,164136.0
A,971104,16,16,120064.0
A,971105,44,46,419508.0
A,971106,27,28,344995.0
A,971107,34,37,433996.0
A,971108,39,44,698188.0
A,971109,30,31,304423.0
A,971110,33,36,474762.0
A,971111,32,35,293056.0
A,971112,78,85,504019.4001464844
A,971113,31,33,403121.0
A,971114,32,37,451008.0
A,971115,16,17,184230.0
A,971116,17,18,239004.0
A,971117,16,17,229962.0
A,971118,20,22,311712.0
A,971119,14,14,142312.0
A,971120,20,25,458170.0
A,971121,13,14,108117.0
A,971122,13,14,217686.0
A,971123,14,19,361107.0
A,971124,17,17,217568.0
A,971125,16,16,201625.0
A,971126,17,17,177904.0
A,971127,15,17,293026.0
A,971128,19,22,386286.0
A,971129,12,12,198609.0
A,971130,203,449,287003.80016708374
A,971201,21,22,361188.0
A,971202,22,25,392468.0
A,971203,23,25,208540.0
A,971204,19,21,178106.0
A,971205,46,51,1009238.0
A,971206,38,43,515211.5
A,971207,34,37,549554.0
A,971208,39,45,693466.0
A,971209,29,32,389866.5
A,971210,36,38,389946.0
A,971211,43,50,517562.0
A,971212,73,88,861897.1999511719
A,971213,40,42,559497.0
A,971214,43,45,698304.5
A,971215,23,26,260479.0
A,971216,25,27,304917.0
A,971217,31,33,603937.0
A,971218,25,30,274565.0
A,971219,21,22,286795.0
A,971220,22,22,269332.0
A,971221,17,17,161702.0
A,971222,20,22,290439.0
A,971223,18,20,338219.0
A,971224,14,18,170208.0
A,971225,23,28,490465.0
A,971226,19,23,332761.0
A,971227,18,18,209400.0
A,971228,13,14,148259.0
A,971229,22,22,155931.0
A,971230,25,26,239143.0
A,971231,203,443,208522.6000995636
A,980101,44,48,347960.0
A,980102,31,32,406290.0
A,980103,42,50,299969.0
A,980104,39,48,333155.0
A,980105,58,67,786777.0
A,980106,55,62,395986.0
A,980107,50,60,478329.0
A,980108,55,62,583524.0
A,980109,45,58,360130.0
A,980110,49,62,587519.0
A,980111,49,58,442065.0
A,980112,85,98,640210.7995605469
A,980113,52,58,491413.0
A,980114,49,55,486631.0
A,980115,35,38,328460.0
A,980116,36,38,332924.0
A,980117,35,40,264359.0
A,980118,39,42,394573.0
A,980119,32,35,289386.0
A,980120,31,36,254722.0
A,980121,36,41,304550.0
A,980122,31,34,226307.0
A,980123,27,29,194390.0
A,980124,40,41,274335.0
A,980125,36,40,278900.0
A,980126,22,26,225371.0
A,980127,27,29,201278.0
A,980128,37,42,290194.0
A,980129,35,42,363416.0
A,980130,33,39,277964.0
A,980131,203,454,240190.60007858276
A,980201,15,18,304261.0
A,980202,14,14,178480.0
A,980203,21,25,365454.0
A,980204,8,8,53417.0
A,980205,34,36,472486.0
A,980206,29,31,299150.0
A,980207,27,30,303622.0
A,980208,38,41,337229.0
A,980209,31,35,361590.0
A,980210,34,35,319601.0
A,980211,31,35,478107.0
A,980212,70,74,536786.6003417969
A,980213,32,35,304845.0
A,980214,32,37,443106.0
A,980215,18,19,320793.0
A,980216,23,24,170571.0
A,980217,17,18,250918.0
A,980218,13,13,130808.0
A,980219,15,17,259454.0
A,980220,8,8,60175.0
A,980221,17,17,175289.0
A,980222,13,15,287070.0
A,980223,14,14,157656.0
A,980224,13,14,193308.0
A,980225,7,7,77370.0
A,980226,6,7,128181.0
A,980227,12,12,222299.0
A,980228,203,452,374292.7000948936
A,980301,11,11,126522.0
A,980302,15,17,197901.0
A,980303,17,20,347826.0
A,980304,17,17,145890.0
A,980305,47,51,632854.0
A,980306,28,30,215863.0
A,980307,32,36,341641.0
A,980308,32,35,465644.0
A,980309,33,33,294685.0
A,980310,37,37,366588.0
A,980311,33,37,430110.0
A,980312,63,66,487197.7004394531
A,980313,31,32,290018.0
A,980314,41,43,574004.0
A,980315,18,19,201381.0
A,980316,8,8,51500.0
A,980317,24,24,183074.0
A,980318,19,22,373290.0
A,980319,19,19,235658.0
A,980320,16,16,176252.0
A,980321,15,17,277713.0
A,980322,16,17,247939.0
A,980323,17,17,180307.0
A,980324,18,19,243316.0
A,980325,13,15,294738.0
A,980326,16,16,148760.0
A,980327,9,9,94022.0
A,980328,10,10,114781.0
A,980329,11,11,108693.0
A,980330,12,15,207704.0
A,980331,203,448,368995.2000389099
A,980401,22,22,245155.0
A,980402,24,25,327686.0
A,980403,19,19,149691.0
A,980404,19,20,218364.0
A,980405,46,47,632902.0
A,980406,32,34,411397.0
A,980407,35,37,292830.0
A,980408,35,36,476400.0
A,980409,27,29,278241.0
A,980410,41,44,530655.0
A,980411,35,38,314175.0
A,980412,57,64,491121.19921875
A,980413,32,35,354023.0
A,980414,36,38,448189.0
A,980415,18,18,159956.0
A,980416,18,18,234748.0
A,980417,18,18,269347.0
A,980418,11,11,106277.0
A,980419,15,17,238390.0
A,980420,16,17,233433.0
A,980421,14,14,111107.0
A,980422,10,11,119595.0
A,980423,11,11,134737.0
A,980424,18,19,285830.0
A,980425,23,24,417752.0
A,980426,11,14,234681.0
A,980427,12,13,163777.0
A,980428,15,17,333983.0
A,980429,13,14,229139.0
A,980430,203,450,302429.0999765396
A,980501,16,16,156092.0
A,980502,19,20,230931.0
A,980503,13,13,163361.0
A,980504,23,24,322789.0
A,980505,39,42,620263.0
A,980506,25,27,218529.0
A,980507,35,38,511454.0
A,980508,34,38,551786.0
A,980509,30,36,539066.0
A,980510,24,28,272252.0
A,980511,36,36,304502.0
A,980512,59,66,500974.8000488281
A,980513,35,36,379755.0
A,980514,36,39,463666.0
A,980515,17,20,181119.0
A,980516,18,19,219907.0
A,980517,18,20,303529.0
A,980518,18,21,257700.0
A,980519,19,19,231244.0
A,980520,13,13,176404.0
A,980521,11,11,133429.0
A,980522,17,18,246007.0
A,980523,15,16,272764.0
A,980524,14,15,204689.0
A,980525,22,23,236374.0
A,980526,11,11,174873.0
A,980527,8,8,69644.0
A,980528,7,8,91578.0
A,980529,12,13,205264.0
A,980530,14,14,123853.0
A,980531,203,462,592786.9001655579
A,980601,18,18,322569.0
A,980602,18,19,195027.0
A,980603,27,30,375960.0
A,980604,18,19,333830.0
A,980605,50,58,850239.0
A,980606,31,32,320771.5
A,980607,33,39,654947.0
A,980608,31,35,641244.0
A,980609,36,37,450916.0
A,980610,34,39,477827.0
A,980611,36,37,489189.0
A,980612,54,66,581300.9997558594
A,980613,41,43,479821.0
A,980614,47,55,897662.0
A,980615,22,22,285244.0
A,980616,22,23,251486.0
A,980617,17,19,311272.0
A,980618,24,24,434387.0
A,980619,15,15,238588.0
A,980620,10,11,112427.0
A,980621,21,22,343735.0
A,980622,19,19,285453.0
A,980623,17,17,264742.0
A,980624,24,26,541594.0
A,980625,15,15,215749.0
A,980626,9,9,96265.0
A,980627,17,19,318821.0
A,980628,18,19,263149.0
A,980629,18,19,298403.0
A,980630,203,451,359177.1000804901
A,980701,18,18,285603.0
A,980702,15,15,55940.0
